时间,代码,名称,周K拉升信号,月K拉升信号
19:36:56,600227,赤天化,False,False
19:36:56,600229,城市传媒,False,False
19:36:58,600230,沧州大化,False,True
19:37:01,600231,凌钢股份,False,True
19:37:06,600232,金鹰股份,False,False
19:37:07,600234,科新发展,False,False
19:37:07,600235,民丰特纸,False,True
19:37:08,600236,桂冠电力,False,False
19:37:13,600237,铜峰电子,False,False
19:37:17,600241,时代万恒,False,False
19:37:18,600248,陕建股份,False,False
19:37:18,600249,两面针,False,True
19:37:19,600250,南京商旅,False,True
19:37:23,600251,冠农股份,False,False
19:37:27,600252,中恒集团,False,True
19:37:29,600255,鑫科材料,False,False
19:37:29,600256,广汇能源,False,False
19:37:29,600257,大湖股份,False,True
19:37:34,600258,首旅酒店,False,False
19:37:38,600259,中稀有色,True,False
19:37:39,600261,阳光照明,False,True
19:37:40,600266,城建发展,False,True
19:37:40,600262,北方股份,False,True
19:37:45,600267,海正药业,False,False
19:37:49,600268,国电南自,False,False
19:37:49,600269,赣粤高速,False,True
19:37:51,600271,航天信息,False,True
19:37:51,600273,嘉化能源,False,True
19:37:55,600278,东方创业,False,True
19:37:59,600279,重庆港,False,True
19:38:00,600280,中央商场,False,False
19:38:01,600282,南钢股份,False,False
19:38:06,600284,浦东建设,False,True
19:38:10,600285,羚锐制药,False,False
19:38:11,600287,苏豪时尚,False,True
19:38:12,600288,大恒科技,True,True
19:38:12,600292,电投水电,False,False
19:38:17,600293,三峡新材,False,False
19:38:20,600295,鄂尔多斯,False,False
19:38:22,600298,安琪酵母,False,False
19:38:23,600299,安迪苏,False,False
19:38:23,600300,维维股份,False,False
19:38:28,600301,华锡有色,False,False
19:38:31,600303,曙光股份,False,False
19:38:32,600305,恒顺醋业,False,False
19:38:33,600308,华泰股份,False,True
19:38:38,600309,万华化学,False,False
