股票代码,股票名称,最新价格,涨跌幅(%),市盈率PE,市净率PB,总市值,板块类型,风险状态
600137,浪莎股份,17.85,-1.49,56.243,3.079,1735333946,上交所主板,正常上市
600138,中青旅,7.15,-0.56,64.441,0.822,5175456000,上交所主板,正常上市
600141,兴发集团,31.53,-1.1,26.365,1.516,37890857691,上交所主板,正常上市
600143,金发科技,15.54,-0.77,34.379,2.075,41543056608,上交所主板,正常上市
600148,长春一东,15.34,-1.03,131.556,4.51,2170862343,上交所主板,正常上市
600149,廊坊发展,4.92,-0.2,116.015,7.312,1870387200,上交所主板,正常上市
600150,中国船舶,34.01,0.35,22.611,1.709,255946380005,上交所主板,正常上市
600151,航天机电,11.29,1.44,-35.91,3.672,16192708320,上交所主板,正常上市
600152,维科技术,8.25,-1.08,-41.466,2.666,4364904844,上交所主板,正常上市
600153,建发股份,8.87,-0.78,-2.401,0.597,25718906947,上交所主板,正常上市
600155,华创云信,5.99,0.0,52.47,0.663,13259119437,上交所主板,正常上市
600156,华升股份,8.88,5.09,-125.271,9.667,3570743034,上交所主板,正常上市
600157,永泰能源,1.59,-1.24,158.12,0.739,34690244991,上交所主板,正常上市
600158,中体产业,7.24,-1.5,-36.228,2.895,6946874605,上交所主板,正常上市
600160,巨化股份,40.95,-0.61,26.644,5.119,110554602017,上交所主板,正常上市
600161,天坛生物,12.85,1.66,26.106,2.14,25409223081,上交所主板,正常上市
600162,香江控股,4.8,1.69,-179.036,2.74,15688502986,上交所主板,正常上市
600163,中闽能源,5.24,0.0,21.366,1.36,9971699789,上交所主板,正常上市
600165,ST宁科,2.51,-0.4,-44.759,3.547,4055868275,上交所主板,ST风险警示
600166,福田汽车,3.0,-1.32,16.615,1.476,23752201101,上交所主板,正常上市
600167,联美控股,5.72,0.18,21.551,1.081,12943447448,上交所主板,正常上市
600168,武汉控股,4.33,-0.69,41.782,0.794,4301411474,上交所主板,正常上市
600169,ST太重,2.07,-0.48,28.454,1.328,6899602905,上交所主板,ST风险警示
600170,上海建工,2.3,-1.29,14.418,0.653,20437661411,上交所主板,正常上市
600171,上海贝岭,23.54,-0.63,75.733,3.668,16688054553,上交所主板,正常上市
600172,黄河旋风,12.52,0.4,-20.554,38.974,18056149640,上交所主板,正常上市
600173,卧龙新能,6.31,-1.71,-21.073,1.238,4420194400,上交所主板,正常上市
600176,中国巨石,43.43,0.28,45.654,5.405,173856228097,上交所主板,正常上市
600177,雅戈尔,7.82,0.51,14.11,0.853,36155315674,上交所主板,正常上市
600178,东安动力,9.64,-0.92,-403.809,1.767,4496830192,上交所主板,正常上市
600179,安通控股,4.59,6.5,17.683,1.604,19422708834,上交所主板,正常上市
600182,S佳通,13.51,0.82,20.813,3.98,4593400000,上交所主板,正常上市
600183,生益科技,146.8,2.49,91.195,19.984,356577738756,上交所主板,正常上市
600184,光电股份,18.26,1.11,207.989,3.118,10640603566,上交所主板,正常上市
600185,珠免集团,4.77,-1.85,-9.976,103.93,8991477642,上交所主板,正常上市
600186,莲花控股,11.33,-1.05,57.872,10.778,20312023383,上交所主板,正常上市
600187,*ST国中,1.37,-0.72,-11.259,0.743,2210880111,上交所主板,*ST退市风险警示
600188,兖矿能源,21.66,-1.95,22.745,2.841,217398214753,上交所主板,正常上市
600189,泉阳泉,7.57,0.4,270.183,4.373,5414047437,上交所主板,正常上市
600191,华资实业,10.61,0.76,74.874,2.996,5145128520,上交所主板,正常上市
600192,长城电工,7.38,-2.25,-8.934,4.292,3260100240,上交所主板,正常上市
600195,中牧股份,6.7,0.6,52.113,1.204,6841693342,上交所主板,正常上市
