代码,名称,共振级别,周K信号,月K信号
601519,大智慧,🚀 月K单启,False,True
601528,瑞丰银行,🚀 月K单启,False,True
601567,三星电气,🚀 月K单启,False,True
601595,上海电影,🚀 月K单启,False,True
601599,浙文影业,🚀 月K单启,False,True
601600,中国铝业,🚀 月K单启,False,True
601608,中信重工,🚀 月K单启,False,True
601615,明阳智能,🚀 月K单启,False,True
601616,广电电气,🚀 月K单启,False,True
601618,中国中冶,🚀 月K单启,False,True
601669,中国电建,🚀 月K单启,False,True
601688,华泰证券,📈 周K单启,True,False
601717,中创智领,🚀 月K单启,False,True
601766,中国中车,🚀 月K单启,False,True
601778,晶科科技,🚀 月K单启,False,True
601789,宁波建工,🚀 月K单启,False,True
601798,蓝科高新,🚀 月K单启,False,True
601808,中海油服,🚀 月K单启,False,True
601865,福莱特,🚀 月K单启,False,True
601860,紫金银行,🚀 月K单启,False,True
601868,中国能建,🚀 月K单启,False,True
601878,浙商证券,🚀 月K单启,False,True
601877,正泰电器,🚀 月K单启,False,True
601888,中国中免,🚀 月K单启,False,True
601908,京运通,🚀 月K单启,False,True
601928,凤凰传媒,🚀 月K单启,False,True
601929,吉视传媒,🚀 月K单启,False,True
601956,东贝集团,🚀 月K单启,False,True
601968,宝钢包装,🚀 月K单启,False,True
601969,海南矿业,🚀 月K单启,False,True
601990,南京证券,🚀 月K单启,False,True
601995,中金公司,📈 周K单启,True,False
601999,XD出版传,📈 周K单启,True,False
603000,人民网,🚀 月K单启,False,True
603013,亚普股份,🚀 月K单启,False,True
603017,中衡设计,🚀 月K单启,False,True
603018,华设集团,🚀 月K单启,False,True
603023,威帝股份,🚀 月K单启,False,True
603036,如通股份,🚀 月K单启,False,True
603058,永吉股份,🚀 月K单启,False,True
603075,热威股份,📈 周K单启,True,False
603080,新疆火炬,🚀 月K单启,False,True
603087,甘李药业,🚀 月K单启,False,True
603090,宏盛股份,🔥 周月双启,True,True
603095,越剑智能,🚀 月K单启,False,True
603096,新经典,🚀 月K单启,False,True
603100,川仪股份,🚀 月K单启,False,True
603105,芯能科技,🚀 月K单启,False,True
603123,翠微股份,🚀 月K单启,False,True
603124,江南新材,📈 周K单启,True,False
603138,海量数据,🚀 月K单启,False,True
603166,福达股份,🔥 周月双启,True,True
603168,莎普爱思,🚀 月K单启,False,True
603169,兰石重装,🚀 月K单启,False,True
603171,税友股份,🚀 月K单启,False,True
603180,金牌家居,🚀 月K单启,False,True
603188,亚邦股份,🚀 月K单启,False,True
603187,海容冷链,🚀 月K单启,False,True
603192,汇得科技,🚀 月K单启,False,True
603196,璞源材料,🚀 月K单启,False,True
603200,上海洗霸,🚀 月K单启,False,True
603203,快克智能,📈 周K单启,True,False
603209,兴通股份,🚀 月K单启,False,True
603230,内蒙新华,🚀 月K单启,False,True
603232,格尔软件,🚀 月K单启,False,True
603238,诺邦股份,🚀 月K单启,False,True
603239,浙江仙通,🚀 月K单启,False,True
603260,合盛硅业,🚀 月K单启,False,True
603270,金帝股份,📈 周K单启,True,False
603277,银都股份,🚀 月K单启,False,True
603280,南方路机,🚀 月K单启,False,True
603281,江瀚新材,📈 周K单启,True,False
603283,赛腾股份,📈 周K单启,True,False
603297,永新光学,📈 周K单启,True,False
603299,苏盐井神,🚀 月K单启,False,True
603305,旭升集团,🚀 月K单启,False,True
603306,华懋科技,📈 周K单启,True,False
603309,维力医疗,🚀 月K单启,False,True
603313,梦百合,🚀 月K单启,False,True
603316,诚邦股份,📈 周K单启,True,False
603320,迪贝电气,📈 周K单启,True,False
603322,超讯科技,🚀 月K单启,False,True
603323,苏农银行,🚀 月K单启,False,True
603326,我乐家居,🚀 月K单启,False,True
603328,依顿电子,📈 周K单启,True,False
603337,杰克科技,🚀 月K单启,False,True
603348,文灿股份,🚀 月K单启,False,True
603357,设计总院,🚀 月K单启,False,True
603363,傲农生物,🚀 月K单启,False,True
603373,安邦护卫,📈 周K单启,True,False
603375,盛景微,📈 周K单启,True,False
603386,骏亚科技,📈 周K单启,True,False
603393,新天然气,🚀 月K单启,False,True
603396,金辰股份,🚀 月K单启,False,True
603409,汇通控股,📈 周K单启,True,False
603416,信捷电气,🚀 月K单启,False,True
603458,勘设股份,📈 周K单启,True,False
603466,风语筑,📈 周K单启,True,False
603499,翔港科技,🚀 月K单启,False,True
603500,祥和实业,📈 周K单启,True,False
603501,豪威集团,🔥 周月双启,True,True
603508,思维列控,🚀 月K单启,False,True
603511,爱慕股份,🚀 月K单启,False,True
603516,淳中科技,🚀 月K单启,False,True
603527,众源新材,📈 周K单启,True,False
603528,多伦科技,🚀 月K单启,False,True
603533,掌阅科技,🚀 月K单启,False,True
603536,惠发食品,🚀 月K单启,False,True
603586,金麒麟,🚀 月K单启,False,True
603601,再升科技,🚀 月K单启,False,True
603612,索通发展,🚀 月K单启,False,True
603613,国联股份,🚀 月K单启,False,True
603619,中曼石油,🚀 月K单启,False,True
603626,科森科技,📈 周K单启,True,False
603636,南威软件,🚀 月K单启,False,True
603637,镇海股份,📈 周K单启,True,False
603638,艾迪精密,📈 周K单启,True,False
603655,朗博科技,🚀 月K单启,False,True
603656,泰禾智能,🚀 月K单启,False,True
603661,恒林股份,📈 周K单启,True,False
603662,柯力传感,📈 周K单启,True,False
603665,康隆达,🚀 月K单启,False,True
603676,卫信康,🚀 月K单启,False,True
603681,永冠新材,📈 周K单启,True,False
603683,晶华新材,📈 周K单启,True,False
603686,福龙马,🚀 月K单启,False,True
603690,至纯科技,🚀 月K单启,False,True
603693,江苏新能,🚀 月K单启,False,True
603696,安记食品,🚀 月K单启,False,True
603730,岱美股份,📈 周K单启,True,False
603739,蔚蓝生物,🚀 月K单启,False,True
603767,中马传动,🚀 月K单启,False,True
603776,永安行,📈 周K单启,True,False
603778,国晟科技,🚀 月K单启,False,True
603801,志邦家居,🚀 月K单启,False,True
603816,顾家家居,🚀 月K单启,False,True
603829,洛凯股份,🚀 月K单启,False,True
603839,安正时尚,🚀 月K单启,False,True
603866,桃李面包,🚀 月K单启,False,True
603878,武进不锈,🚀 月K单启,False,True
603882,金域医学,🚀 月K单启,False,True
603887,城地香江,🚀 月K单启,False,True
603888,新华网,🚀 月K单启,False,True
603897,长城科技,📈 周K单启,True,False
603896,寿仙谷,🚀 月K单启,False,True
603900,莱绅通灵,🚀 月K单启,False,True
603908,牧高笛,🚀 月K单启,False,True
603906,龙蟠科技,📈 周K单启,True,False
603915,国茂股份,🚀 月K单启,False,True
603917,合力科技,🚀 月K单启,False,True
603920,世运电路,🚀 月K单启,False,True
603948,建业股份,📈 周K单启,True,False
